"id","category","name","price","coin","description","register","amount","imageuri","details"
"2","Pizza","Muzzarela","1800","usd","Una descripcion","Una marca","10","pizza.webp","detalles"
"3","Pizza","Muzza c/ criolla","2200",NULL,"Una descripcion","Una marca","0","pizza.webp","detalles"
"4","Pizza","Muzza c/ huevo duro","2000",NULL,"Una descripcion","Una marca",NULL,"pizza.webp","detalles"
"5","Pizza","Muzza c/ jamon","2300",NULL,"Una descripcion","Una marca","-1","pizza.webp","detalles"
"6","Pizza","Muzza c/ jamon y huevo duro","2500",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"7","Pizza","Jamon y morrones","2800",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"8","Pizza","Jamon y morrones c/ huevo duro","3000",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"9","Pizza","Napolitana","2600",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"10","Pizza","Napolitana c/ huevo duro","2800",NULL,NULL,NULL,"0","pizza.webp",NULL
"11","Pizza","Napolitana c/ criolla","3000",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"12","Pizza","Napolitana c/ jamon","3100",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"13","Pizza","Napolitana c/ jamon y huevo duro","3300",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"14","Pizza","Napolitana c/ jamon y criolla","3500",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"15","Pizza","Napolitana c/ rucula","3200",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"16","Pizza","Roquefort","2400",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"17","Pizza","Roquefort c/ jamon","2900",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"18","Pizza","Provolone","2600",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"19","Pizza","Provolone c/ jamon","3100",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"20","Pizza","Cuatro quesos","2800",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"21","Pizza","Cuatro quesos c/ jamon","3300",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"22","Pizza","Fugazza","1800",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"23","Pizza","Fugazza con muzza","2200",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"24","Pizza","Fugazza c/ jamon y morron","2700",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"25","Pizza","Fugazza rellena (jyq)","4500",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"26","Pizza","Muzarella rellena (jyq)","4500",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"27","Pizza","Calabresa","2400",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"28","Pizza","Rucula","2400",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"29","Pizza","Verdura y Salsa blanca","3000",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"30","Pan de Pizza","Bandeja de Pan de Pizza","700",NULL,NULL,NULL,NULL,"pizzapan.webp",NULL
"31","Media pizza","Muzzarela","1200",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"32","Media pizza","Muzza c/ criolla","1400",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"33","Media pizza","Muzza c/ huevo duro","1300",NULL,NULL,NULL,NULL,"pizza.webp",NULL
"34","Media pizza","Muzza c/ jamon","1500",NULL,NULL,NULL,NULL,"pizza.webp",NULL
